x(pixel),y(pixel),birdviewx(pixel),birdviewy(pixel),disviewx(cm),disviewy(cm)
238,752,93.4,320,-166,610
332,667,93.4,300,-166,810
390,616,93.4,280,-166,1010
428,581,93.4,260,-166,1210
453,556,93.4,240,-166,1410
472,537,93.4,220,-166,1610
507,509,93.4,170,-166,2110
989,704,124.2,320,142,610
898,633,124.2,300,142,810
842,588,124.2,280,142,1010
805,559,124.2,260,142,1210
778,538,124.2,240,142,1410
759,522,124.2,220,142,1610
725,495,124.2,170,142,2110
90,631,73.4,280,-366,1010
239,567,73.4,240,-366,1410
326,533,73.4,200,-366,1810
368,516,73.4,170,-366,2110
1,764,83.4,320,-266,610
247,622,83.4,280,-266,1010
350,565,83.4,240,-266,1410
409,529,83.4,200,-266,1810
440,511,83.4,170,-266,2110
485,736,103.4,320,-66,610
536,607,103.4,280,-66,1010
559,552,103.4,240,-66,1410
571,522,103.4,200,-66,1810
577,505,103.4,170,-66,2110
690,724,114.4,320,44,610
667,599,114.4,280,44,1010
655,545,114.4,240,44,1410
650,517,114.4,200,44,1810
648,500,114.4,170,44,2110
1212,691,134.3,320,243,610
979,578,134.3,280,243,1010
880,531,134.3,240,243,1410
824,505,134.3,200,243,1810
795,490,134.3,170,243,2110
1123,571,144.3,280,343,1010
983,525,144.3,240,343,1410
904,499,144.3,200,343,1810
865,485,144.3,170,343,2110
